animal_id,timestamp,temperature,Fxa,Mya,Rza,Sxg,Lyg,Dzg
A001,2025-10-29 00:25:00,38.54,0.006,0.013,0.828,0.674,0.424,0.722
A001,2025-10-29 00:26:00,38.43,0.005,0.021,0.932,0.759,0.277,0.647
A001,2025-10-29 00:27:00,38.49,0.07,0.011,0.906,0.544,0.403,0.418
A001,2025-10-29 00:28:00,38.46,0.104,0.007,0.865,0.87,0.334,0.348
A001,2025-10-29 00:29:00,38.5,0.047,0.014,0.893,0.569,0.231,0.55
A001,2025-10-29 00:30:00,38.5,0.055,0.008,0.859,0.951,0.356,0.468
A001,2025-10-29 00:31:00,38.45,0.042,0.018,0.865,0.572,0.439,0.617
A001,2025-10-29 00:32:00,38.51,0.102,0.045,0.935,0.462,0.507,0.826
A001,2025-10-29 00:33:00,38.54,0.057,0.038,0.884,0.974,0.252,0.55
A001,2025-10-29 00:34:00,38.54,0.047,-0.004,0.948,0.832,0.201,0.65
A001,2025-10-29 00:35:00,38.49,0.093,-0.011,0.902,0.685,0.405,0.449
A001,2025-10-29 00:36:00,38.43,0.029,0.003,0.902,0.479,0.345,0.539
A001,2025-10-29 00:37:00,38.43,0.004,0.034,0.872,1.053,0.248,0.432
A001,2025-10-29 00:38:00,38.55,0.081,0.035,0.889,0.486,0.771,0.442
A001,2025-10-29 00:39:00,38.54,0.048,0.013,0.866,1.104,0.1,0.691
A001,2025-10-29 00:40:00,38.58,0.016,0.033,0.857,1.118,0.27,0.268
A001,2025-10-29 00:41:00,38.47,0.103,0.064,0.875,0.893,0.159,0.363
A001,2025-10-29 00:42:00,38.42,0.076,0.01,0.942,0.453,0.417,0.502
A001,2025-10-29 00:43:00,38.46,0.063,-0.02,0.873,0.565,0.47,0.621
A001,2025-10-29 00:44:00,38.51,0.047,-0.002,0.969,0.768,0.473,0.466
A001,2025-10-29 00:45:00,38.43,0.094,0.022,0.826,0.351,0.286,0.717
A001,2025-10-29 00:46:00,38.52,0.077,0.061,0.921,0.78,0.559,0.409
A001,2025-10-29 00:47:00,38.58,0.026,0.002,0.86,1.07,0.177,0.839
A001,2025-10-29 00:48:00,38.55,0.038,-0.003,0.904,1.434,0.367,0.61
A001,2025-10-29 00:49:00,38.49,0.075,-0.008,0.909,0.589,0.571,0.324
A001,2025-10-29 00:50:00,38.58,0.07,0.031,0.884,1.09,0.528,0.386
A001,2025-10-29 00:51:00,38.42,0.045,0.007,0.881,0.688,0.429,0.49
A001,2025-10-29 00:52:00,38.5,0.059,-0.009,0.897,0.883,0.473,0.618
A001,2025-10-29 00:53:00,38.6,0.024,0.022,0.907,0.849,0.303,0.522
A001,2025-10-29 00:54:00,38.52,0.048,0.015,0.901,0.601,0.473,0.515
A001,2025-10-29 00:55:00,38.42,0.06,0.013,0.881,0.682,0.58,0.536
A001,2025-10-29 00:56:00,38.41,0.047,0.021,0.908,0.73,0.384,0.637
A001,2025-10-29 00:57:00,38.5,0.037,-0.005,0.942,0.892,0.642,0.748
A001,2025-10-29 00:58:00,38.52,0.021,0.014,0.901,0.96,0.321,0.523
A001,2025-10-29 00:59:00,38.58,0.043,-0.008,0.881,0.887,0.256,0.241
A001,2025-10-29 01:00:00,38.53,0.104,0.036,0.871,0.616,0.479,0.773
A001,2025-10-29 01:01:00,38.55,0.072,0.027,0.861,0.715,0.507,0.394
A001,2025-10-29 01:02:00,38.56,0.048,0.026,0.883,0.92,0.42,0.313
A001,2025-10-29 01:03:00,38.59,0.03,0.008,0.892,0.773,0.227,0.433
A001,2025-10-29 01:04:00,38.5,0.049,0.005,0.924,0.96,0.307,0.51
A001,2025-10-29 01:05:00,38.4,0.035,0.035,0.928,0.648,0.541,0.542
A001,2025-10-29 01:06:00,38.46,0.029,-0.003,0.905,0.782,0.311,0.663
A001,2025-10-29 01:07:00,38.41,0.058,-0.002,0.847,0.83,0.802,0.647
A001,2025-10-29 01:08:00,38.48,0.125,-0.009,0.914,0.581,0.144,0.749
A001,2025-10-29 01:09:00,38.46,0.066,0.002,0.864,0.916,0.314,0.408
A001,2025-10-29 01:10:00,38.56,-0.009,-0.016,0.892,0.68,0.415,0.504
A001,2025-10-29 01:11:00,38.44,0.08,0.02,0.915,0.41,0.189,0.606
A001,2025-10-29 01:12:00,38.54,0.059,0.008,0.914,0.63,0.363,0.319
A001,2025-10-29 01:13:00,38.51,0.057,0.014,0.872,0.831,0.694,0.595
A001,2025-10-29 01:14:00,38.46,0.048,-0.011,0.879,0.705,0.398,0.386
A001,2025-10-29 01:15:00,38.52,0.068,0.006,0.865,0.606,0.242,0.27
A001,2025-10-29 01:16:00,38.55,0.046,-0.017,0.923,0.571,0.323,0.58
A001,2025-10-29 01:17:00,38.39,0.034,0.019,0.902,0.962,0.381,0.479
A001,2025-10-29 01:18:00,38.49,0.023,0.024,0.878,0.614,0.27,0.679
A001,2025-10-29 01:19:00,38.49,0.055,0.007,0.941,0.563,0.179,0.66
A001,2025-10-29 01:20:00,38.53,0.061,0.017,0.942,0.575,0.477,0.526
A001,2025-10-29 01:21:00,38.51,0.039,0.02,0.913,0.644,0.343,0.607
A001,2025-10-29 01:22:00,38.47,0.076,0.006,0.896,1.029,0.355,0.489
A001,2025-10-29 01:23:00,38.53,0.093,-0.018,0.901,0.695,0.465,0.754
A001,2025-10-29 01:24:00,38.55,0.08,0.012,0.927,0.771,0.337,0.26
A001,2025-10-29 01:25:00,38.53,0.053,0.015,0.887,0.973,0.452,0.458
A001,2025-10-29 01:26:00,38.48,0.053,0.011,0.936,0.628,0.408,0.388
A001,2025-10-29 01:27:00,38.47,0.048,0.04,0.89,0.62,0.292,0.758
A001,2025-10-29 01:28:00,38.42,0.081,0.034,0.903,0.831,0.611,0.672
A001,2025-10-29 01:29:00,38.4,0.076,0.009,0.922,0.774,0.482,0.517
A001,2025-10-29 01:30:00,38.47,0.066,0.024,0.919,0.559,0.261,0.495
A001,2025-10-29 01:31:00,38.52,0.045,0.021,0.925,0.961,0.366,0.479
A001,2025-10-29 01:32:00,38.59,0.063,-0.008,0.869,0.658,0.215,0.372
A001,2025-10-29 01:33:00,38.47,0.05,-0.001,0.895,0.764,0.231,0.414
A001,2025-10-29 01:34:00,38.55,0.048,-0.002,0.924,0.942,0.273,0.347
A001,2025-10-29 01:35:00,38.52,0.082,0.013,0.859,0.928,0.605,0.548
A001,2025-10-29 01:36:00,38.4,0.115,0.069,0.88,1.127,0.194,0.508
A001,2025-10-29 01:37:00,38.46,0.049,0.012,0.872,0.894,0.315,0.588
A001,2025-10-29 01:38:00,38.49,0.109,0.02,0.912,0.673,0.671,0.611
A001,2025-10-29 01:39:00,38.48,0.015,-0.003,0.916,0.611,0.236,0.442
A001,2025-10-29 01:40:00,38.57,0.117,-0.026,0.928,0.613,0.332,0.5
A001,2025-10-29 01:41:00,38.46,0.061,-0.018,0.938,0.518,0.522,0.216
A001,2025-10-29 01:42:00,38.56,0.003,0.02,0.913,1.252,0.279,0.433
A001,2025-10-29 01:43:00,38.51,0.022,-0.01,0.887,0.775,0.413,0.39
A001,2025-10-29 01:44:00,38.55,0.068,-0.009,0.879,0.871,0.395,0.535
A001,2025-10-29 01:45:00,38.54,0.024,0.02,0.889,0.601,0.354,0.556
A001,2025-10-29 01:46:00,38.55,0.05,0.024,0.847,0.464,0.26,0.644
A001,2025-10-29 01:47:00,38.49,0.025,0.001,0.872,0.821,0.308,0.529
A001,2025-10-29 01:48:00,38.52,0.059,0.012,0.884,1.09,0.278,0.508
A001,2025-10-29 01:49:00,38.55,0.077,0.005,0.92,0.853,0.27,0.339
A001,2025-10-29 01:50:00,38.44,0.057,0.039,0.904,0.933,0.392,0.404
A001,2025-10-29 01:51:00,38.51,0.127,0.01,0.894,0.859,0.42,0.325
A001,2025-10-29 01:52:00,38.5,-0.008,0.018,0.922,0.947,0.404,0.553
A001,2025-10-29 01:53:00,38.55,0.068,-0.014,0.912,0.477,0.201,0.325
A001,2025-10-29 01:54:00,38.59,0.034,-0.012,0.911,0.778,0.448,0.062
A001,2025-10-29 01:55:00,38.56,0.064,0.025,0.874,0.635,0.618,0.55
A001,2025-10-29 01:56:00,38.56,0.066,0.01,0.935,0.53,0.433,0.472
A001,2025-10-29 01:57:00,38.46,0.061,0.008,0.909,0.804,0.393,0.5
A001,2025-10-29 01:58:00,38.51,0.079,-0.013,0.883,0.723,0.279,0.427
A001,2025-10-29 01:59:00,38.38,-0.012,-0.011,0.851,1.0,0.374,0.662
A001,2025-10-29 02:00:00,38.55,0.031,0.001,0.901,0.57,0.364,0.437
A001,2025-10-29 02:01:00,38.51,0.048,0.008,0.881,0.57,0.301,0.352
A001,2025-10-29 02:02:00,38.51,0.04,-0.004,0.883,0.899,0.553,0.433
A001,2025-10-29 02:03:00,38.41,0.048,0.04,0.929,0.775,0.213,0.556
A001,2025-10-29 02:04:00,38.54,0.014,-0.018,0.889,1.048,0.365,0.415
A001,2025-10-29 02:05:00,38.47,0.048,0.0,0.837,0.727,0.225,0.53
A001,2025-10-29 02:06:00,38.51,0.081,-0.023,0.872,1.36,0.35,0.523
A001,2025-10-29 02:07:00,38.44,0.057,-0.006,0.88,0.929,0.342,0.483
A001,2025-10-29 02:08:00,38.45,0.039,0.014,0.887,0.839,0.353,0.534
A001,2025-10-29 02:09:00,38.39,0.035,-0.004,0.864,0.849,0.405,0.547
A001,2025-10-29 02:10:00,38.41,0.079,0.031,0.842,0.815,0.374,0.218
A001,2025-10-29 02:11:00,38.48,0.06,0.039,0.898,0.473,0.392,0.414
A001,2025-10-29 02:12:00,38.46,0.012,0.002,0.832,0.645,0.395,0.285
A001,2025-10-29 02:13:00,38.52,0.107,0.014,0.928,1.046,0.361,0.411
A001,2025-10-29 02:14:00,38.52,0.1,-0.007,0.868,1.188,0.355,0.687
A001,2025-10-29 02:15:00,38.49,0.051,0.003,0.912,0.628,0.279,0.638
A001,2025-10-29 02:16:00,38.58,0.074,0.023,0.881,0.922,0.339,0.307
A001,2025-10-29 02:17:00,38.38,0.047,-0.006,0.89,0.78,0.356,0.312
A001,2025-10-29 02:18:00,38.56,0.049,0.013,0.902,1.021,0.351,0.433
A001,2025-10-29 02:19:00,38.47,0.03,0.023,0.891,0.516,0.303,0.719
A001,2025-10-29 02:20:00,38.57,0.039,-0.031,0.949,1.316,0.594,0.355
A001,2025-10-29 02:21:00,38.57,0.013,-0.034,0.912,0.993,0.388,0.448
A001,2025-10-29 02:22:00,38.42,0.039,0.05,0.955,0.628,0.742,0.431
A001,2025-10-29 02:23:00,38.52,0.081,-0.013,0.892,0.554,0.392,0.472
A001,2025-10-29 02:24:00,38.48,-0.031,-0.047,0.828,0.981,0.287,0.532
A001,2025-10-29 02:25:00,38.52,0.015,-0.048,0.835,0.87,0.44,0.6
A001,2025-10-29 02:26:00,38.48,0.049,0.012,0.889,0.557,0.52,0.415
A001,2025-10-29 02:27:00,38.48,0.07,0.04,0.959,1.116,0.237,0.3
A001,2025-10-29 02:28:00,38.49,0.086,0.027,0.853,0.702,0.213,0.375
A001,2025-10-29 02:29:00,38.55,0.06,-0.013,0.869,0.727,0.639,0.554
A001,2025-10-29 02:30:00,38.44,0.073,-0.014,0.948,0.845,0.449,0.589
A001,2025-10-29 02:31:00,38.47,0.025,-0.028,0.914,0.622,0.292,0.542
A001,2025-10-29 02:32:00,38.52,0.115,-0.031,0.924,0.816,0.589,0.407
A001,2025-10-29 02:33:00,38.52,0.013,-0.044,0.888,0.773,0.505,0.604
A001,2025-10-29 02:34:00,38.48,0.023,-0.003,0.913,0.959,0.491,0.645
A001,2025-10-29 02:35:00,38.5,-0.004,0.009,0.861,0.805,0.464,0.698
A001,2025-10-29 02:36:00,38.55,0.038,-0.002,0.918,1.094,0.453,0.448
A001,2025-10-29 02:37:00,38.55,0.053,-0.026,0.92,0.675,0.322,0.59
A001,2025-10-29 02:38:00,38.52,0.033,0.054,0.92,0.715,0.521,0.107
A001,2025-10-29 02:39:00,38.52,0.074,0.029,0.933,1.074,0.184,0.534
A001,2025-10-29 02:40:00,38.54,0.129,0.01,0.898,1.078,0.58,0.443
A001,2025-10-29 02:41:00,38.56,0.039,-0.019,0.836,0.739,0.432,0.471
A001,2025-10-29 02:42:00,38.47,0.071,-0.004,0.895,1.157,0.27,0.433
A001,2025-10-29 02:43:00,38.51,0.071,0.003,0.882,0.714,0.207,0.222
A001,2025-10-29 02:44:00,38.48,0.063,0.01,0.917,0.95,0.407,0.337
A001,2025-10-29 02:45:00,38.52,-0.007,0.021,0.881,0.619,0.516,0.361
A001,2025-10-29 02:46:00,38.46,-0.041,0.03,0.938,0.594,0.262,0.387
A001,2025-10-29 02:47:00,38.55,0.044,-0.014,0.862,0.134,0.355,0.579
A001,2025-10-29 02:48:00,38.49,0.093,0.022,0.938,0.8,0.464,0.607
A001,2025-10-29 02:49:00,38.52,0.025,0.015,0.839,0.678,0.088,0.658
A001,2025-10-29 02:50:00,38.54,0.07,0.053,0.944,0.906,0.6,0.443
A001,2025-10-29 02:51:00,38.53,0.008,-0.004,0.881,0.703,0.046,0.21
A001,2025-10-29 02:52:00,38.5,0.049,-0.002,0.927,0.841,0.136,0.679
A001,2025-10-29 02:53:00,38.49,0.06,0.04,0.89,0.771,0.436,0.542
A001,2025-10-29 02:54:00,38.46,0.067,0.019,0.889,0.841,0.446,0.203
A001,2025-10-29 02:55:00,38.51,0.001,-0.017,0.9,0.719,0.633,0.446
A001,2025-10-29 02:56:00,38.53,0.085,0.01,0.877,0.974,0.435,0.376
A001,2025-10-29 02:57:00,38.43,0.075,0.05,0.907,0.593,0.186,0.665
A001,2025-10-29 02:58:00,38.51,0.04,0.029,0.908,0.768,0.486,0.564
A001,2025-10-29 02:59:00,38.53,0.045,0.002,0.829,0.509,0.332,0.43
A001,2025-10-29 03:00:00,38.6,0.036,0.018,0.919,0.87,0.314,0.65
A001,2025-10-29 03:01:00,38.57,0.069,0.001,0.922,0.915,0.333,0.402
A001,2025-10-29 03:02:00,38.49,0.03,0.02,0.905,0.949,0.42,0.45
A001,2025-10-29 03:03:00,38.51,0.035,0.042,0.88,1.009,0.444,0.333
A001,2025-10-29 03:04:00,38.49,0.026,0.008,0.938,0.575,0.388,0.375
A001,2025-10-29 03:05:00,38.57,0.075,-0.038,0.927,0.4,0.348,0.713
A001,2025-10-29 03:06:00,38.47,0.034,0.008,0.924,1.07,0.052,0.383
A001,2025-10-29 03:07:00,38.46,-0.036,0.013,0.945,0.541,0.204,0.713
A001,2025-10-29 03:08:00,38.46,0.071,0.037,0.873,0.916,0.566,0.256
A001,2025-10-29 03:09:00,38.51,0.016,-0.023,0.886,0.845,0.204,0.482
A001,2025-10-29 03:10:00,38.45,0.065,0.052,0.901,1.098,0.451,0.421
A001,2025-10-29 03:11:00,38.5,0.009,0.023,0.839,0.494,0.4,0.31
A001,2025-10-29 03:12:00,38.54,0.075,0.019,0.898,0.916,0.463,0.566
A001,2025-10-29 03:13:00,38.47,0.01,0.016,0.862,0.744,0.647,0.492
A001,2025-10-29 03:14:00,38.49,0.067,-0.002,0.885,0.817,0.506,0.466
A001,2025-10-29 03:15:00,38.49,0.006,0.004,0.91,0.854,0.465,0.404
A001,2025-10-29 03:16:00,38.45,0.06,0.004,0.879,0.641,0.437,0.517
A001,2025-10-29 03:17:00,38.55,0.075,0.016,0.899,0.893,0.457,0.589
A001,2025-10-29 03:18:00,38.54,0.039,0.023,0.848,0.796,0.33,0.618
A001,2025-10-29 03:19:00,38.49,0.001,0.004,0.789,0.639,0.494,0.446
A001,2025-10-29 03:20:00,38.48,0.027,0.009,0.915,0.748,0.527,0.429
A001,2025-10-29 03:21:00,38.49,0.044,-0.036,0.924,1.212,0.552,0.461
A001,2025-10-29 03:22:00,38.46,0.02,-0.031,0.894,0.667,0.006,0.608
A001,2025-10-29 03:23:00,38.47,0.043,0.002,0.883,0.713,0.271,0.485
A001,2025-10-29 03:24:00,38.54,0.054,0.024,0.929,0.72,0.381,0.618
A001,2025-10-29 03:25:00,38.6,-0.007,0.008,0.864,0.803,0.416,0.47
A001,2025-10-29 03:26:00,38.49,-0.009,0.019,0.908,0.952,0.436,0.678
A001,2025-10-29 03:27:00,38.52,0.049,0.023,0.952,0.924,0.183,0.639
A001,2025-10-29 03:28:00,38.54,0.026,0.009,0.88,0.61,0.218,0.684
A001,2025-10-29 03:29:00,38.61,0.058,-0.002,0.893,1.144,0.334,0.497
A001,2025-10-29 03:30:00,38.55,0.035,0.043,0.897,0.853,0.71,0.525
A001,2025-10-29 03:31:00,38.52,0.02,0.0,0.951,1.064,0.415,0.406
A001,2025-10-29 03:32:00,38.55,0.004,0.016,0.897,0.977,0.379,0.577
A001,2025-10-29 03:33:00,38.46,0.006,0.006,0.944,0.958,0.144,0.265
A001,2025-10-29 03:34:00,38.45,0.025,-0.005,0.913,0.981,0.389,0.444
A001,2025-10-29 03:35:00,38.53,0.031,-0.02,0.893,0.859,0.658,0.504
A001,2025-10-29 03:36:00,38.5,0.066,-0.001,0.909,0.477,0.561,0.442
A001,2025-10-29 03:37:00,38.43,0.023,0.027,0.896,0.606,0.488,0.634
A001,2025-10-29 03:38:00,38.5,0.093,0.026,0.897,0.966,0.119,0.623
A001,2025-10-29 03:39:00,38.49,0.038,0.008,0.857,1.071,0.295,0.658
A001,2025-10-29 03:40:00,38.51,0.014,-0.017,0.894,0.738,0.426,0.446
A001,2025-10-29 03:41:00,38.46,0.004,0.042,0.922,0.893,0.159,0.53
A001,2025-10-29 03:42:00,38.48,0.073,0.02,0.962,1.086,0.551,0.333
A001,2025-10-29 03:43:00,38.47,0.012,-0.015,0.895,0.229,0.576,0.476
A001,2025-10-29 03:44:00,38.58,0.04,0.015,0.888,0.59,0.531,0.588
A001,2025-10-29 03:45:00,38.51,0.025,-0.004,0.915,0.923,0.407,0.226
A001,2025-10-29 03:46:00,38.46,0.07,0.043,0.924,1.01,0.419,0.436
A001,2025-10-29 03:47:00,38.49,0.018,0.025,0.879,0.128,0.207,0.71
A001,2025-10-29 03:48:00,38.43,0.066,0.009,0.879,0.49,0.396,0.442
A001,2025-10-29 03:49:00,38.5,0.078,0.022,0.893,0.728,0.577,0.619
A001,2025-10-29 03:50:00,38.51,0.056,0.03,0.889,0.591,0.326,0.583
A001,2025-10-29 03:51:00,38.44,0.022,0.022,0.94,0.919,0.299,0.635
A001,2025-10-29 03:52:00,38.46,0.05,0.025,0.899,0.738,0.476,0.405
A001,2025-10-29 03:53:00,38.39,0.082,0.011,0.952,1.072,0.226,0.582
A001,2025-10-29 03:54:00,38.45,0.102,0.046,0.944,0.505,0.278,0.551
A001,2025-10-29 03:55:00,38.43,0.029,-0.021,0.921,0.992,0.293,0.45
A001,2025-10-29 03:56:00,38.47,0.044,-0.024,0.909,0.685,0.494,0.405
A001,2025-10-29 03:57:00,38.48,0.047,0.039,0.884,0.706,0.351,0.507
A001,2025-10-29 03:58:00,38.55,0.057,0.002,0.847,0.523,0.396,0.534
A001,2025-10-29 03:59:00,38.58,0.033,0.04,0.909,0.492,0.478,0.564
A001,2025-10-29 04:00:00,38.46,0.037,0.0,0.886,0.441,0.298,0.612
A001,2025-10-29 04:01:00,38.52,0.072,0.036,0.86,0.65,0.302,0.369
A001,2025-10-29 04:02:00,38.49,0.06,-0.009,0.872,0.394,0.47,0.424
A001,2025-10-29 04:03:00,38.48,0.06,-0.007,0.874,0.857,0.222,0.232
A001,2025-10-29 04:04:00,38.63,0.065,0.027,0.86,0.658,0.112,0.404
A001,2025-10-29 04:05:00,38.47,0.05,-0.002,0.962,0.725,0.347,0.445
A001,2025-10-29 04:06:00,38.49,0.049,0.033,0.917,0.714,0.455,0.433
A001,2025-10-29 04:07:00,38.52,0.029,-0.018,0.895,0.688,0.456,0.259
A001,2025-10-29 04:08:00,38.45,0.034,0.006,0.885,0.978,0.451,0.59
A001,2025-10-29 04:09:00,38.54,0.097,-0.014,0.923,0.643,0.31,0.392
A001,2025-10-29 04:10:00,38.55,0.024,0.01,0.891,0.888,0.32,0.347
A001,2025-10-29 04:11:00,38.55,0.079,-0.011,0.915,0.487,0.332,0.759
A001,2025-10-29 04:12:00,38.5,0.025,0.011,0.849,0.91,0.636,0.446
A001,2025-10-29 04:13:00,38.43,-0.004,0.007,0.901,0.812,0.644,0.403
A001,2025-10-29 04:14:00,38.44,0.068,0.0,0.892,0.662,0.301,0.599
A001,2025-10-29 04:15:00,38.46,0.075,0.031,0.861,0.685,0.288,0.529
A001,2025-10-29 04:16:00,38.47,0.07,-0.004,0.879,1.016,0.456,0.517
A001,2025-10-29 04:17:00,38.5,0.067,0.004,0.877,0.747,0.654,0.68
A001,2025-10-29 04:18:00,38.51,-0.009,0.006,0.863,0.87,0.324,0.661
A001,2025-10-29 04:19:00,38.46,0.044,-0.013,0.885,0.989,0.267,0.427
A001,2025-10-29 04:20:00,38.46,0.044,-0.001,0.889,0.846,0.285,0.606
A001,2025-10-29 04:21:00,38.57,0.041,0.036,0.95,1.035,0.416,0.336
A001,2025-10-29 04:22:00,38.48,0.039,-0.002,0.859,0.657,0.473,0.783
A001,2025-10-29 04:23:00,38.54,0.075,0.022,0.913,0.854,0.315,0.523
A001,2025-10-29 04:24:00,38.44,0.019,-0.017,0.911,0.692,0.546,0.329
A001,2025-10-29 04:25:00,38.52,0.063,0.014,0.914,0.952,0.12,0.55
A001,2025-10-29 04:26:00,38.52,0.099,0.05,0.88,1.06,0.547,0.862
A001,2025-10-29 04:27:00,38.48,0.039,0.024,0.951,0.679,0.449,0.502
A001,2025-10-29 04:28:00,38.54,0.055,0.03,0.925,0.781,0.443,0.541
A001,2025-10-29 04:29:00,38.5,0.046,0.029,0.893,0.799,0.586,0.576
A001,2025-10-29 04:30:00,38.49,0.053,0.006,0.861,0.742,0.37,0.555
A001,2025-10-29 04:31:00,38.55,0.057,0.045,0.895,0.794,0.636,0.55
A001,2025-10-29 04:32:00,38.48,0.071,0.023,0.866,0.733,0.509,0.513
A001,2025-10-29 04:33:00,38.53,0.008,-0.007,0.921,0.908,0.385,0.758
A001,2025-10-29 04:34:00,38.54,-0.0,0.038,0.886,0.578,0.298,0.499
A001,2025-10-29 04:35:00,38.39,0.077,0.021,0.922,0.617,0.55,0.77
A001,2025-10-29 04:36:00,38.5,-0.008,-0.021,0.899,1.009,0.172,0.551
A001,2025-10-29 04:37:00,38.51,0.08,0.009,0.922,0.435,0.577,0.577
A001,2025-10-29 04:38:00,38.54,0.006,0.016,0.881,0.858,0.335,0.332
A001,2025-10-29 04:39:00,38.59,0.045,-0.044,0.918,0.436,0.308,0.73
A001,2025-10-29 04:40:00,38.53,0.017,0.033,0.877,0.753,0.422,0.298
A001,2025-10-29 04:41:00,38.5,0.078,0.006,0.875,0.692,0.289,0.626
A001,2025-10-29 04:42:00,38.43,0.068,-0.006,0.923,0.576,0.28,0.308
A001,2025-10-29 04:43:00,38.56,0.036,0.013,0.883,0.991,0.359,0.584
A001,2025-10-29 04:44:00,38.45,0.079,0.003,0.954,0.902,0.531,0.611
A001,2025-10-29 04:45:00,38.43,0.08,0.003,0.911,0.69,0.345,0.213
A001,2025-10-29 04:46:00,38.56,0.092,-0.013,0.85,0.8,0.278,0.41
A001,2025-10-29 04:47:00,38.46,0.066,0.003,0.93,0.799,0.411,0.815
A001,2025-10-29 04:48:00,38.44,0.08,0.02,0.907,1.248,0.568,0.566
A001,2025-10-29 04:49:00,38.48,0.08,0.011,0.952,0.949,0.249,0.632
A001,2025-10-29 04:50:00,38.54,0.072,-0.019,0.808,0.639,0.356,0.278
A001,2025-10-29 04:51:00,38.59,0.065,0.002,0.829,0.6,0.645,0.462
A001,2025-10-29 04:52:00,38.49,0.075,0.014,0.904,0.895,0.491,0.625
A001,2025-10-29 04:53:00,38.49,0.015,0.027,0.898,0.887,0.434,0.566
A001,2025-10-29 04:54:00,38.51,0.022,0.04,0.889,0.702,0.825,0.393
A001,2025-10-29 04:55:00,38.41,0.017,0.015,0.881,0.807,0.36,0.355
A001,2025-10-29 04:56:00,38.49,0.053,-0.014,0.949,0.763,0.437,0.675
A001,2025-10-29 04:57:00,38.57,0.063,0.016,0.898,0.561,0.215,0.341
A001,2025-10-29 04:58:00,38.49,0.107,0.015,0.869,0.688,0.611,0.947
A001,2025-10-29 04:59:00,38.5,0.045,-0.014,0.885,0.471,0.575,0.773
A001,2025-10-29 05:00:00,38.6,0.065,0.009,0.891,0.909,0.332,0.801
A001,2025-10-29 05:01:00,38.47,0.081,-0.009,0.885,1.037,0.577,0.474
A001,2025-10-29 05:02:00,38.58,0.03,0.025,0.886,0.957,0.305,1.019
A001,2025-10-29 05:03:00,38.57,0.08,0.006,0.908,0.526,0.493,0.471
A001,2025-10-29 05:04:00,38.43,0.056,0.028,0.938,0.896,0.259,0.269
A001,2025-10-29 05:05:00,38.44,0.006,0.023,0.832,0.72,0.452,0.508
A001,2025-10-29 05:06:00,38.49,0.042,-0.011,0.943,0.908,0.353,0.604
A001,2025-10-29 05:07:00,38.42,0.076,-0.006,0.882,0.728,0.462,0.438
A001,2025-10-29 05:08:00,38.52,0.043,0.013,0.907,0.837,0.722,0.607
A001,2025-10-29 05:09:00,38.58,0.092,0.012,0.927,0.722,0.859,0.547
A001,2025-10-29 05:10:00,38.48,0.034,0.0,0.887,0.79,0.129,0.676
A001,2025-10-29 05:11:00,38.54,0.107,0.021,0.902,0.835,0.484,0.53
A001,2025-10-29 05:12:00,38.46,0.058,-0.012,0.953,0.715,0.45,0.692
